IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | timestamp: 1744160259.498234
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [True, False, False, False, False] | Valor do passo: 16 | timestamp: 1744160279.2224743
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | timestamp: 1744160281.1526496
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1744160283.1947575
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | timestamp: 1744160283.201789
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1744160283.270747
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1744160283.3192213
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, True, False, False, False] | Valor do passo: 8 | timestamp: 1744160283.9493318
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1744160284.3028626
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, True, True, False] | Valor do passo: 6 | timestamp: 1744160286.6304033
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1744160287.2939801
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | timestamp: 1744160287.5396118
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1744160289.4780464
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | timestamp: 1744160289.6948056
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [True, False, False, False, False] | Valor do passo: 16 | timestamp: 1744160313.8751855
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | timestamp: 1744160315.8167193
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1744160317.8483691
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | timestamp: 1744160317.8621428
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1744160317.9295232
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1744160317.9799054
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, True, False, False, False] | Valor do passo: 8 | timestamp: 1744160318.5351295
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1744160318.9748244
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, True, True, False] | Valor do passo: 6 | timestamp: 1744160321.327498
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1744160322.014251
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | timestamp: 1744160322.2342691
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1744160324.1774554
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | timestamp: 1744160324.3877115
