IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, False] | Valor do passo: 0 | time_to_change: 0.0035686492919921875
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo1: [True, False, False, False, False] | Valor do passo: 16 | time_to_change: 51.95697736740112
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo2: [False, False, False, False, False] | Valor do passo: 0 | time_to_change: 1.922410488128662
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo3: [False, False, True, False, False] | Valor do passo: 4 | time_to_change: 2.0126054286956787
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo4: [False, False, False, False, False] | Valor do passo: 0 | time_to_change: 0.01885986328125
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo5: [False, False, True, False, False] | Valor do passo: 4 | time_to_change: 0.09098672866821289
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo6: [False, True, True, False, False] | Valor do passo: 12 | time_to_change: 0.04615211486816406
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo7: [False, True, False, False, False] | Valor do passo: 8 | time_to_change: 0.5476617813110352
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo8: [False, True, False, True, False] | Valor do passo: 10 | time_to_change: 0.5638272762298584
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo9: [False, True, True, True, False] | Valor do passo: 14 | time_to_change: 0.01580023765563965
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo10: [False, False, True, True, False] | Valor do passo: 6 | time_to_change: 2.2165980339050293
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo11: [False, False, True, False, False] | Valor do passo: 4 | time_to_change: 0.6485216617584229
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo12: [False, False, False, False, False] | Valor do passo: 0 | time_to_change: 0.21751642227172852
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo13: [False, False, True, False, False] | Valor do passo: 4 | time_to_change: 0.007509708404541016
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo14: [False, False, False, False, False] | Valor do passo: 0 | time_to_change: 0.020854711532592773
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo15: [False, False, False, False, True] | Valor do passo: 1 | time_to_change: 1.9306492805480957
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo16: [False, False, False, False, False] | Valor do passo: 0 | time_to_change: 0.20458769798278809
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo17: [True, False, False, False, False] | Valor do passo: 16 | time_to_change: 10.657142877578735
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo18: [False, False, False, False, False] | Valor do passo: 0 | time_to_change: 1.950817346572876
