Passo,Step,Valor do Passo,Timestamp
0,"[False, False, False, False, False]",0,1744160259.498234
0,"[True, False, False, False, False]",16,1744160279.2224743
0,"[False, False, False, False, False]",0,1744160281.1526496
0,"[False, False, True, False, False]",4,1744160283.1947575
0,"[False, False, False, False, False]",0,1744160283.201789
0,"[False, False, True, False, False]",4,1744160283.270747
0,"[False, True, True, False, False]",12,1744160283.3192213
0,"[False, True, False, False, False]",8,1744160283.9493318
0,"[False, True, True, True, False]",14,1744160284.3028626
0,"[False, False, True, True, False]",6,1744160286.6304033
0,"[False, False, True, False, False]",4,1744160287.2939801
0,"[False, False, False, False, False]",0,1744160287.5396118
0,"[False, False, False, False, True]",1,1744160289.4780464
0,"[False, False, False, False, False]",0,1744160289.6948056

0,"[True, False, False, False, False]",16,1744160313.8751855
0,"[False, False, False, False, False]",0,1744160315.8167193
0,"[False, False, True, False, False]",4,1744160317.8483691
0,"[False, False, False, False, False]",0,1744160317.8621428
0,"[False, False, True, False, False]",4,1744160317.9295232
0,"[False, True, True, False, False]",12,1744160317.9799054
0,"[False, True, False, False, False]",8,1744160318.5351295
0,"[False, True, True, True, False]",14,1744160318.9748244
0,"[False, False, True, True, False]",6,1744160321.327498
0,"[False, False, True, False, False]",4,1744160322.014251
0,"[False, False, False, False, False]",0,1744160322.2342691
0,"[False, False, False, False, True]",1,1744160324.1774554
0,"[False, False, False, False, False]",0,1744160324.3877115

0,"[True, False, False, False, False]",16,1744160369.1618366
0,"[False, False, False, False, False]",0,1744160371.1136432
0,"[False, False, True, False, False]",4,1744160373.1341279
0,"[False, False, False, False, False]",0,1744160373.1554005
0,"[False, False, True, False, False]",4,1744160373.2217007
0,"[False, True, True, False, False]",12,1744160373.2612035
0,"[False, True, False, False, False]",8,1744160373.9174042
0,"[False, True, True, True, False]",14,1744160374.355722
0,"[False, False, True, True, False]",6,1744160376.6828005
0,"[False, False, True, False, False]",4,1744160377.3388312
0,"[False, False, False, False, False]",0,1744160377.548042
0,"[False, False, True, False, False]",4,1744160377.5647664
0,"[False, False, False, False, False]",0,1744160377.588622
0,"[False, False, False, False, True]",1,1744160379.5146651
0,"[False, False, False, False, False]",0,1744160379.7249925
