IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532798.5654676
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo1: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532808.1476822
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo2: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532809.3730297
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo3: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532810.5528283
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo4: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532810.8212368
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo5: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532816.6411057
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo6: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532817.317506
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo7: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532817.362509
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo8: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532822.3725379
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo9: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532825.4427645
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo10: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532827.4256625
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo11: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532829.6511905
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo12: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532829.8837228
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo13: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532830.151502
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo14: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532832.209605
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo15: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532837.4556637
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo16: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532839.2999961
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
