Passo,Step,Valor do Passo,Timestamp
123,"[False, True, True, True, True]",15,1745532426.8973706
124,"[False, False, True, True, True]",7,1745532427.036564
125,"[False, False, False, True, True]",3,1745532429.572292
126,"[False, False, False, False, True]",1,1745532429.632363
127,"[False, False, True, False, True]",5,1745532429.78668
128,"[True, False, True, False, True]",21,1745532434.5722551
129,"[False, False, True, False, True]",5,1745532435.3312058
130,"[False, True, True, False, True]",13,1745532435.367262
131,"[False, True, True, True, True]",15,1745532440.397751
132,"[False, True, True, True, False]",14,1745532443.5385935
133,"[False, True, True, False, False]",12,1745532445.518248
134,"[False, True, True, False, True]",13,1745532447.6706853
135,"[False, False, True, False, True]",5,1745532447.8839574
136,"[False, False, True, False, True]",5,1745532448.1711662
137,"[False, False, True, False, False]",4,1745532450.2268178
138,"[False, False, True, False, True]",5,1745532455.5530293
139,"[False, False, True, False, True]",5,1745532457.3727233
140,"[False, True, True, False, True]",13,1745532457.5795298
141,"[False, True, True, False, False]",12,1745532460.2280068
142,"[False, True, True, True, False]",14,1745532462.1894734
143,"[False, True, True, True, True]",15,1745532462.492622
144,"[False, False, True, True, True]",7,1745532462.6229458
145,"[False, False, False, True, True]",3,1745532465.0720046
146,"[False, False, False, False, True]",1,1745532465.153085
147,"[False, False, True, False, True]",5,1745532465.3295774
148,"[True, False, True, False, True]",21,1745532474.3030045
149,"[False, False, True, False, True]",5,1745532475.0508904
150,"[False, True, True, False, True]",13,1745532475.1168897
151,"[False, True, True, True, True]",15,1745532480.1259723
152,"[False, True, True, True, False]",14,1745532483.1880975
153,"[False, True, True, False, False]",12,1745532485.2368104
154,"[False, True, True, False, True]",13,1745532487.4811497
155,"[False, False, True, False, True]",5,1745532487.665304
156,"[False, False, True, False, True]",5,1745532487.886533
157,"[False, False, True, False, False]",4,1745532490.0427527
158,"[False, False, True, False, True]",5,1745532495.174234
159,"[False, False, True, False, True]",5,1745532497.0538397
161,"[False, True, True, False, False]",12,1745532499.963109
160,"[False, True, True, False, True]",13,1745532499.9397638
162,"[False, True, True, True, False]",14,1745532501.9275682
163,"[False, True, True, True, True]",15,1745532502.19616
164,"[False, False, True, True, True]",7,1745532502.3126912
165,"[False, False, False, True, True]",3,1745532504.8511674
166,"[False, False, False, False, True]",1,1745532504.937693
167,"[False, False, True, False, True]",5,1745532505.044766
168,"[True, False, True, False, True]",21,1745532508.3419902
169,"[False, False, True, False, True]",5,1745532509.3327055
170,"[False, True, True, False, True]",13,1745532509.3377004
171,"[False, True, True, True, True]",15,1745532514.390929
172,"[False, True, True, True, False]",14,1745532517.4650173
173,"[False, True, True, False, False]",12,1745532519.4640698
174,"[False, True, True, False, True]",13,1745532521.6327345
